                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.0317,                 1.0654,                 1.2321,                0.48396,                0.10416,                 0.0982,                0.05706,                    nan,                    nan,                    nan,             0.00044225,             0.00044225,             0.00044225
                     38,                 1.0308,                 1.0627,                 1.2335,                0.48108,                0.10319,                0.09719,                0.05758,                    nan,                    nan,                    nan,              0.0004406,              0.0004406,              0.0004406
                     39,                 1.0258,                 1.0497,                 1.2283,                0.48303,                0.10445,                0.09709,                0.05723,                    nan,                    nan,                    nan,             0.00043895,             0.00043895,             0.00043895
                     40,                 1.0285,                 1.0513,                 1.2298,                0.48293,                0.10416,                0.09737,                0.05725,                    nan,                    nan,                    nan,              0.0004373,              0.0004373,              0.0004373
                     41,                 1.0247,                 1.0534,                 1.2262,                0.47514,                0.10359,                0.09668,                0.05713,                    nan,                    nan,                    nan,             0.00043565,             0.00043565,             0.00043565
                     42,                  1.021,                 1.0471,                  1.224,                0.47413,                0.10407,                0.09706,                0.05722,                    nan,                    nan,                    nan,               0.000434,               0.000434,               0.000434
                     43,                 1.0264,                 1.0468,                 1.2288,                0.47129,                0.10491,                 0.0969,                0.05723,                    nan,                    nan,                    nan,             0.00043235,             0.00043235,             0.00043235
                     44,                 1.0205,                 1.0436,                 1.2246,                 0.4721,                0.10495,                0.09695,                0.05756,                    nan,                    nan,                    nan,              0.0004307,              0.0004307,              0.0004307
                     45,                 1.0209,                 1.0393,                 1.2248,                0.47335,                0.10523,                0.09746,                 0.0577,                    nan,                    nan,                    nan,             0.00042905,             0.00042905,             0.00042905
                     46,                 1.0194,                 1.0387,                 1.2234,                 0.4735,                0.10612,                0.09768,                0.05794,                    nan,                    nan,                    nan,              0.0004274,              0.0004274,              0.0004274
                     47,                  1.017,                 1.0317,                 1.2227,                0.47539,                0.10733,                0.09812,                0.05821,                    nan,                    nan,                    nan,             0.00042575,             0.00042575,             0.00042575
                     48,                  1.021,                 1.0317,                  1.224,                0.47565,                 0.1067,                0.09808,                0.05824,                    nan,                    nan,                    nan,              0.0004241,              0.0004241,              0.0004241
                     49,                 1.0155,                 1.0301,                 1.2249,                0.47775,                0.10591,                0.09841,                0.05841,                    nan,                    nan,                    nan,             0.00042245,             0.00042245,             0.00042245
                     50,                 1.0153,                 1.0259,                 1.2217,                0.47689,                0.10635,                 0.0984,                 0.0585,                    nan,                    nan,                    nan,              0.0004208,              0.0004208,              0.0004208
                     51,                 1.0174,                 1.0209,                 1.2228,                0.47273,                0.10602,                0.09853,                0.05856,                    nan,                    nan,                    nan,             0.00041915,             0.00041915,             0.00041915
                     52,                 1.0141,                 1.0217,                 1.2228,                 0.4793,                0.10507,                0.09856,                0.05853,                    nan,                    nan,                    nan,              0.0004175,              0.0004175,              0.0004175
                     53,                 1.0139,                 1.0141,                 1.2213,                0.47781,                0.10491,                0.09827,                0.05873,                    nan,                    nan,                    nan,             0.00041585,             0.00041585,             0.00041585
                     54,                 1.0123,                 1.0186,                 1.2197,                0.47792,                0.10532,                0.09803,                0.05864,                    nan,                    nan,                    nan,              0.0004142,              0.0004142,              0.0004142
                     55,                 1.0128,                 1.0174,                 1.2199,                0.48456,                0.10539,                0.09846,                0.05875,                    nan,                    nan,                    nan,             0.00041255,             0.00041255,             0.00041255
                     56,                  1.013,                 1.0136,                 1.2196,                0.48697,                 0.1052,                0.09874,                0.05888,                    nan,                    nan,                    nan,              0.0004109,              0.0004109,              0.0004109
                     57,                 1.0112,                 1.0125,                 1.2205,                0.48611,                0.10517,                0.09879,                0.05886,                    nan,                    nan,                    nan,             0.00040925,             0.00040925,             0.00040925
                     58,                 1.0097,                  1.011,                 1.2184,                0.48777,                0.10531,                0.09846,                 0.0588,                    nan,                    nan,                    nan,              0.0004076,              0.0004076,              0.0004076
